Spot_Price,Strike_Price,Maturity,risk_free_interest,Volatility,Call_Premium,Monte_Carlo_Value
191.94,175.0,335,0.01,0.33,32.05,33.21
191.94,180.0,335,0.01,0.32,29.32,30.08
191.94,185.0,335,0.01,0.31,25.51,26.89
191.94,175.0,237,0.01,0.32,28.25,29.5
191.94,180.0,237,0.01,0.31,24.75,25.71
191.94,175.0,90,0.01,0.31,21.7,22.13
191.94,175.0,426,0.01,0.34,36.9,37.09
191.94,180.0,426,0.01,0.33,33.75,33.88
191.94,185.0,426,0.01,0.32,29.51,30.6
191.94,190.0,426,0.01,0.31,25.88,27.73
343.77,310.0,118,0.01,0.36,44.45,47.48
343.77,315.0,118,0.01,0.35,44.3,43.45
343.77,320.0,118,0.01,0.34,38.5,40.01
343.77,325.0,118,0.01,0.33,35.87,36.16
343.77,330.0,118,0.01,0.33,34.05,33.21
343.77,335.0,118,0.01,0.31,27.8,28.94
343.77,340.0,118,0.01,0.32,25.55,27.3
343.77,345.0,118,0.01,0.31,22.7,24.04
343.77,310.0,181,0.01,0.35,49.59,53.04
343.77,315.0,181,0.01,0.34,46.25,48.74
343.77,320.0,181,0.01,0.33,42.56,44.88
343.77,325.0,181,0.01,0.33,39.5,41.72
343.77,330.0,181,0.01,0.32,36.28,38.15
343.77,335.0,181,0.01,0.32,33.95,35.94
343.77,340.0,181,0.01,0.31,29.9,32.4
343.77,345.0,181,0.01,0.31,29.5,29.94
343.77,310.0,237,0.01,0.35,57.34,57.23
343.77,315.0,237,0.01,0.35,55.55,53.89
343.77,320.0,237,0.01,0.34,52.0,49.99
343.77,325.0,237,0.01,0.33,44.0,46.72
343.77,330.0,237,0.01,0.33,42.32,44.21
343.77,335.0,237,0.01,0.32,40.6,40.3
343.77,340.0,237,0.01,0.33,35.6,39.12
343.77,345.0,237,0.01,0.32,34.02,35.67
343.77,350.0,237,0.01,0.31,31.43,32.58
343.77,355.0,237,0.01,0.31,28.15,30.36
343.77,360.0,237,0.01,0.31,25.5,28.34
343.77,370.0,237,0.01,0.31,21.49,24.76
343.77,315.0,426,0.01,0.36,64.32,68.4
343.77,320.0,426,0.01,0.36,61.67,65.61
343.77,330.0,426,0.01,0.36,56.0,60.45
343.77,335.0,426,0.01,0.35,58.65,57.1
343.77,340.0,426,0.01,0.34,51.2,53.18
343.77,345.0,426,0.01,0.35,49.5,52.82
343.77,350.0,426,0.01,0.33,46.73,47.77
343.77,355.0,426,0.01,0.33,46.5,45.51
343.77,360.0,426,0.01,0.33,42.9,43.61
343.77,365.0,426,0.01,0.32,40.65,40.32
343.77,370.0,426,0.01,0.32,38.59,38.7
343.77,375.0,426,0.01,0.32,36.4,36.79
343.77,310.0,146,0.01,0.35,46.4,49.46
343.77,315.0,146,0.01,0.34,43.1,45.76
343.77,320.0,146,0.01,0.34,39.65,42.32
343.77,325.0,146,0.01,0.32,38.0,37.98
343.77,330.0,146,0.01,0.32,32.92,35.32
343.77,335.0,146,0.01,0.31,30.84,31.68
343.77,340.0,146,0.01,0.31,27.2,29.22
343.77,345.0,146,0.01,0.32,25.95,27.7
120.02,110.0,118,0.01,0.38,15.4,15.9
120.02,115.0,118,0.01,0.35,11.63,12.27
120.02,120.0,118,0.01,0.35,8.8,9.72
120.02,125.0,118,0.01,0.33,6.6,7.05
120.02,130.0,118,0.01,0.32,4.75,5.09
120.02,110.0,181,0.01,0.37,17.0,17.9
120.02,112.5,181,0.01,0.37,15.6,16.49
120.02,115.0,181,0.01,0.35,14.12,14.49
120.02,117.5,181,0.01,0.34,12.37,12.82
120.02,120.0,181,0.01,0.36,11.1,12.32
120.02,122.5,181,0.01,0.35,9.47,10.98
120.02,125.0,181,0.01,0.32,8.78,8.98
120.02,127.5,181,0.01,0.32,7.35,7.97
120.02,130.0,181,0.01,0.32,6.65,7.08
120.02,110.0,237,0.01,0.4,19.4,20.68
120.02,115.0,237,0.01,0.38,16.05,17.23
120.02,120.0,237,0.01,0.36,13.0,14.15
120.02,125.0,237,0.01,0.34,10.45,11.3
120.02,130.0,237,0.01,0.33,8.35,9.11
120.02,110.0,90,0.01,0.36,14.01,14.27
120.02,115.0,90,0.01,0.34,10.15,10.82
120.02,120.0,90,0.01,0.32,7.25,7.73
120.02,125.0,90,0.01,0.31,5.05,5.36
